# trackType=Official Forecast Track,baseTime=2021-04-09T00:00:00Z
# DisturbanceId=ID2021_06
# CycloneName=ODETTE
# MathType of Data
(Time->(Latitude,Longitude,Symbol,Category,Pressure,PressureOCI,RadiusOCI,Radius1000hPa,RadiusMaxWinds,MeanWind,WindGust,VerticalExtent,Uncertainty,FinalT,CurrentIntensity,GaleRadius,StrongGaleRadius,StormRadius,HurricaneRadius,NEGaleRadius,SEGaleRadius,SWGaleRadius,NWGaleRadius,NEStrongGaleRadius,SEStrongGaleRadius,SWStrongGaleRadius,NWStrongGaleRadius,NEStormRadius,SEStormRadius,SWStormRadius,NWStormRadius,NEHurricaneRadius,SEHurricaneRadius,SWHurricaneRadius,NWHurricaneRadius,MeanWind10Percentile,MeanWind25Percentile,MeanWind75Percentile,MeanWind90Percentile,DataSource,Land/Water,CycloneStatus,HowLocation,DataTNoDvorak,ModelTNoDvorak,PatternTNoDvorak,UncPressure,HowPressure,P/W_Method,HowMaxWindRadius,HowGaleRadius,HowStormRadius,HowHurricaneRadius,UncMaxWindSpeed,HowMaxWindSpeed,HowGust,EyeRadius,UncEyeRadius,HowEyeRadius))
# Column Headings
Time[fmt=yyyy-MM-dd'T'HH:mm:ss'Z'],Latitude,Longitude,Symbol,Category,Pressure,PressureOCI,RadiusOCI,Radius1000hPa,RadiusMaxWinds,MeanWind,WindGust,VerticalExtent,Uncertainty,FinalT,CurrentIntensity,GaleRadius,StrongGaleRadius,StormRadius,HurricaneRadius,NEGaleRadius,SEGaleRadius,SWGaleRadius,NWGaleRadius,NEStrongGaleRadius,SEStrongGaleRadius,SWStrongGaleRadius,NWStrongGaleRadius,NEStormRadius,SEStormRadius,SWStormRadius,NWStormRadius,NEHurricaneRadius,SEHurricaneRadius,SWHurricaneRadius,NWHurricaneRadius,MeanWind10Percentile,MeanWind25Percentile,MeanWind75Percentile,MeanWind90Percentile,DataSource,Land/Water,CycloneStatus,HowLocation,DataTNoDvorak,ModelTNoDvorak,PatternTNoDvorak,UncPressure,HowPressure,P/W_Method,HowMaxWindRadius,HowGaleRadius,HowStormRadius,HowHurricaneRadius,UncMaxWindSpeed,HowMaxWindSpeed,HowGust,EyeRadius,UncEyeRadius,HowEyeRadius
# Start of data
2021-04-08T00:00:00Z,-15.8,105.7,4.0,0.0,992.0,NaN,NaN,NaN,NaN,40.0,55.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,80.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2021-04-08T06:00:00Z,-15.6,105.6,4.0,0.0,990.0,NaN,NaN,NaN,NaN,35.0,50.0,NaN,20.0,2.0,3.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2021-04-08T12:00:00Z,-15.0,105.6,4.0,1.0,991.0,NaN,NaN,NaN,NaN,40.0,55.0,NaN,20.0,2.5,3.0,NaN,NaN,NaN,NaN,NaN,NaN,70.0,70.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2021-04-09T00:00:00Z,-14.2,107.7,4.0,1.0,990.0,NaN,NaN,NaN,NaN,45.0,65.0,NaN,20.0,3.0,3.0,NaN,NaN,NaN,NaN,70.0,NaN,70.0,80.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2021-04-09T06:00:00Z,-14.7,109.2,4.0,1.0,988.0,NaN,NaN,NaN,NaN,45.0,65.0,NaN,40.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2021-04-09T12:00:00Z,-15.7,110.7,4.0,1.0,989.0,NaN,NaN,NaN,NaN,45.0,65.0,NaN,55.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2021-04-09T18:00:00Z,-17.1,111.9,4.0,1.0,989.0,NaN,NaN,NaN,NaN,45.0,65.0,NaN,70.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2021-04-10T00:00:00Z,-18.7,112.4,4.0,1.0,991.0,NaN,NaN,NaN,NaN,40.0,55.0,NaN,90.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2021-04-10T12:00:00Z,-22.3,110.0,4.0,1.0,990.0,NaN,NaN,NaN,NaN,40.0,55.0,NaN,110.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2021-04-11T00:00:00Z,-25.1,109.9,4.0,0.0,991.0,NaN,NaN,NaN,NaN,35.0,45.0,NaN,120.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
