Name,Time,Latitude,Longitude,Symbol,Category,Pressure,MeanWind,WindGust
TC SEROJA,2021-04-04T18:00:00Z,-10.0,122.7,4.0,1.0,994.0,35.0,50.0
TC SEROJA,2021-04-05T00:00:00Z,-10.6,122.5,4.0,1.0,990.0,40.0,55.0
TC SEROJA,2021-04-05T06:00:00Z,-11.0,121.7,4.0,1.0,988.0,40.0,55.0
TC SEROJA,2021-04-05T12:00:00Z,-11.3,121.0,4.0,2.0,986.0,50.0,70.0
TC SEROJA,2021-04-05T18:00:00Z,-11.6,120.0,4.0,2.0,984.0,55.0,75.0
TC SEROJA,2021-04-06T00:00:00Z,-11.7,120.0,4.0,2.0,980.0,60.0,85.0
TC SEROJA,2021-04-06T06:00:00Z,-12.5,118.0,4.0,2.0,970.0,60.0,85.0
TC SEROJA,2021-04-06T12:00:00Z,-13.0,117.0,4.0,3.0,960.0,65.0,90.0
TC SEROJA,2021-04-07T00:00:00Z,-14.0,115.5,4.0,3.0,950.0,70.0,100.0
TC SEROJA,2021-04-07T06:00:00Z,-15.3,114.0,4.0,3.0,960.0,70.0,100.0
TC SEROJA,2021-04-07T12:00:00Z,-16.0,113.0,4.0,3.0,950.0,75.0,105.0
TC SEROJA,2021-04-07T18:00:00Z,-16.2,112.0,4.0,3.0,950.0,80.0,110.0
